PRACTICE_CODE,PRACTICE_NAME,LSOA21CD,NUMBER_OF_PATIENTS
F85002,MEDICUS HEALTH PARTNERS,CLOSED,73
F85002,MEDICUS HEALTH PARTNERS,E01000009,4
F85002,MEDICUS HEALTH PARTNERS,E01000011,1
F85002,MEDICUS HEALTH PARTNERS,E01000012,1
F85002,MEDICUS HEALTH PARTNERS,E01000018,2
F85002,MEDICUS HEALTH PARTNERS,E01000030,1
F85002,MEDICUS HEALTH PARTNERS,E01000039,3
F85002,MEDICUS HEALTH PARTNERS,E01000043,1
F85002,MEDICUS HEALTH PARTNERS,E01000054,3
F85002,MEDICUS HEALTH PARTNERS,E01000073,1
F85002,MEDICUS HEALTH PARTNERS,E01000074,1
F85002,MEDICUS HEALTH PARTNERS,E01000085,1
F85002,MEDICUS HEALTH PARTNERS,E01000090,1
F85002,MEDICUS HEALTH PARTNERS,E01000095,2
F85002,MEDICUS HEALTH PARTNERS,E01000099,1
F85002,MEDICUS HEALTH PARTNERS,E01000103,1
F85002,MEDICUS HEALTH PARTNERS,E01000115,14
F85002,MEDICUS HEALTH PARTNERS,E01000116,4
F85002,MEDICUS HEALTH PARTNERS,E01000117,2
F85002,MEDICUS HEALTH PARTNERS,E01000119,23
F85002,MEDICUS HEALTH PARTNERS,E01000120,7
F85002,MEDICUS HEALTH PARTNERS,E01000122,14
F85002,MEDICUS HEALTH PARTNERS,E01000123,6
F85002,MEDICUS HEALTH PARTNERS,E01000124,4
F85002,MEDICUS HEALTH PARTNERS,E01000126,1
F85002,MEDICUS HEALTH PARTNERS,E01000132,1
F85002,MEDICUS HEALTH PARTNERS,E01000137,1
F85002,MEDICUS HEALTH PARTNERS,E01000138,1
F85002,MEDICUS HEALTH PARTNERS,E01000141,1
F85002,MEDICUS HEALTH PARTNERS,E01000145,1
F85002,MEDICUS HEALTH PARTNERS,E01000147,1
F85002,MEDICUS HEALTH PARTNERS,E01000154,1
F85002,MEDICUS HEALTH PARTNERS,E01000156,1
F85002,MEDICUS HEALTH PARTNERS,E01000158,1
F85002,MEDICUS HEALTH PARTNERS,E01000161,2
F85002,MEDICUS HEALTH PARTNERS,E01000164,1
